external_id,nombre,apellidos,dni,email,telefono,fecha_alta,estado,sede_externa,empresa_id
S5000-00001,Lucía,"Pérez Núñez",60000001Q,s5000.00001@example.invalid,"+34 600000001",2026-01-01,activo,"Sede sintética",999999
S5000-00002,Iñigo,"Martín Sáez",60000002V,s5000.00002@example.invalid,600-000-002,2026-02-02,activo,"Sede sintética",999999
S5000-00003,"María José","Gómez León",60000003H,s5000.00003@example.invalid,"+34 600000003",2026-03-03,activo,"Sede sintética",999999
S5000-00004,Óscar,"Muñoz García",60000004L,s5000.00004@example.invalid,600-000-004,2026-04-04,activo,"Sede sintética",999999
S5000-00005,Nuria,"Pérez Núñez",60000005C,s5000.00005@example.invalid,"+34 600000005",2026-05-05,activo,"Sede sintética",999999
S5000-00006,Raúl,"Martín Sáez",60000006K,s5000.00006@example.invalid,600-000-006,2026-06-06,activo,"Sede sintética",999999
S5000-00007,Sofía,"Gómez León",60000007E,s5000.00007@example.invalid,"+34 600000007",2026-07-07,activo,"Sede sintética",999999
S5000-00008,Álvaro,"Muñoz García",60000008T,s5000.00008@example.invalid,600-000-008,2026-08-08,activo,"Sede sintética",999999
S5000-00009,Lucía,"Pérez Núñez",60000009R,s5000.00009@example.invalid,"+34 600000009",2026-09-09,activo,"Sede sintética",999999
S5000-00010,Iñigo,"Martín Sáez",60000010W,s5000.00010@example.invalid,600-000-010,2026-10-10,activo,"Sede sintética",999999
S5000-00011,"María José","Gómez León",60000011A,s5000.00011@example.invalid,"+34 600000011",2026-11-11,inactivo,"Sede sintética",999999
S5000-00012,Óscar,"Muñoz García",60000012G,s5000.00012@example.invalid,600-000-012,2026-12-12,activo,"Sede sintética",999999
S5000-00013,Nuria,"Pérez Núñez",60000013M,s5000.00013@example.invalid,"+34 600000013",2026-01-13,activo,"Sede sintética",999999
S5000-00014,Raúl,"Martín Sáez",60000014Y,s5000.00014@example.invalid,600-000-014,2026-02-14,activo,"Sede sintética",999999
S5000-00015,Sofía,"Gómez León",60000015F,s5000.00015@example.invalid,"+34 600000015",2026-03-15,activo,"Sede sintética",999999
